,From,To,Duration(s),Distance(m),StartLocation,Destination
112,9,4,1444.5,16797.7,StoreJ,StoreE
124,10,4,1504.0,18433.9,StoreK,StoreE
136,11,4,621.1,6709.1,StoreL,StoreE
148,12,4,332.3,3575.9,StoreM,StoreE
4,0,5,773.6,9284.0,StoreA,StoreF
16,1,5,1268.7,15322.1,StoreB,StoreF
28,2,5,551.0,5685.3,StoreC,StoreF
40,3,5,550.7,6625.8,StoreD,StoreF
52,4,5,212.6,2649.1,StoreE,StoreF
77,6,5,431.0,4761.3,StoreG,StoreF
89,7,5,619.0,7471.1,StoreH,StoreF
101,8,5,1362.3,19209.9,StoreI,StoreF
113,9,5,1436.2,16620.0,StoreJ,StoreF
125,10,5,1517.5,18973.3,StoreK,StoreF
137,11,5,612.8,6531.4,StoreL,StoreF
149,12,5,345.8,4115.3,StoreM,StoreF
5,0,6,771.4,9347.5,StoreA,StoreG
17,1,6,1355.6,17456.2,StoreB,StoreG
29,2,6,638.7,7951.4,StoreC,StoreG
41,3,6,625.9,9029.3,StoreD,StoreG
53,4,6,310.1,3741.2,StoreE,StoreG
65,5,6,251.3,3018.7,StoreF,StoreG
90,7,6,339.9,4065.1,StoreH,StoreG
102,8,6,1144.6,14905.6,StoreI,StoreG
114,9,6,1405.5,16387.4,StoreJ,StoreG
126,10,6,1658.0,20457.4,StoreK,StoreG
138,11,6,582.1,6298.7,StoreL,StoreG
150,12,6,474.9,5484.1,StoreM,StoreG
6,0,7,901.5,9985.6,StoreA,StoreH
18,1,7,1485.1,18633.0,StoreB,StoreH
30,2,7,768.2,9128.1,StoreC,StoreH
42,3,7,755.4,10206.0,StoreD,StoreH
54,4,7,587.0,6572.5,StoreE,StoreH
66,5,7,507.3,6237.8,StoreF,StoreH
78,6,7,320.9,4000.8,StoreG,StoreH
103,8,7,1182.2,14555.6,StoreI,StoreH
115,9,7,1523.3,21923.4,StoreJ,StoreH
127,10,7,1915.8,23714.4,StoreK,StoreH
139,11,7,839.9,9555.7,StoreL,StoreH
151,12,7,732.7,8741.0,StoreM,StoreH
7,0,8,1794.9,23486.5,StoreA,StoreI
19,1,8,2379.1,31595.2,StoreB,StoreI
31,2,8,1662.2,22090.4,StoreC,StoreI
43,3,8,1649.4,23168.3,StoreD,StoreI
55,4,8,1395.3,18908.0,StoreE,StoreI
67,5,8,1182.7,16258.9,StoreF,StoreI
79,6,8,1185.3,15346.0,StoreG,StoreI
91,7,8,1188.0,16047.0,StoreH,StoreI
116,9,8,1647.4,19313.0,StoreJ,StoreI
128,10,8,2420.8,33845.3,StoreK,StoreI
140,11,8,1332.3,17846.0,StoreL,StoreI
152,12,8,1413.4,19358.3,StoreM,StoreI
8,0,9,1978.0,23219.2,StoreA,StoreJ
20,1,9,2203.8,28923.1,StoreB,StoreJ
32,2,9,1627.7,18077.5,StoreC,StoreJ
44,3,9,1423.8,16935.6,StoreD,StoreJ
56,4,9,1417.0,16584.3,StoreE,StoreJ
68,5,9,1338.3,16317.7,StoreF,StoreJ
80,6,9,1443.2,16953.8,StoreG,StoreJ
92,7,9,1479.9,21456.2,StoreH,StoreJ
104,8,9,1524.3,18927.5,StoreI,StoreJ
129,10,9,1313.1,15189.7,StoreK,StoreJ
141,11,9,946.0,11252.2,StoreL,StoreJ
153,12,9,1195.9,13993.7,StoreM,StoreJ
9,0,10,1967.8,25790.0,StoreA,StoreK
21,1,10,1618.1,25073.6,StoreB,StoreK
33,2,10,1462.1,18051.1,StoreC,StoreK
45,3,10,1223.3,15618.2,StoreD,StoreK
57,4,10,1440.6,17755.2,StoreE,StoreK
69,5,10,1687.6,21080.9,StoreF,StoreK
81,6,10,1698.4,20372.8,StoreG,StoreK
93,7,10,1890.0,25757.9,StoreH,StoreK
105,8,10,2138.8,30684.8,StoreI,StoreK
117,9,10,1347.4,15078.0,StoreJ,StoreK
142,11,10,1300.0,15989.7,StoreL,StoreK
154,12,10,1358.8,16591.6,StoreM,StoreK
10,0,11,1032.0,11967.0,StoreA,StoreL
22,1,11,1390.1,16657.2,StoreB,StoreL
34,2,11,681.7,6825.3,StoreC,StoreL
46,3,11,605.1,6717.0,StoreD,StoreL
58,4,11,471.0,5332.1,StoreE,StoreL
70,5,11,622.5,7409.5,StoreF,StoreL
82,6,11,583.0,6735.6,StoreG,StoreL
94,7,11,822.7,9941.4,StoreH,StoreL
106,8,11,1202.8,17492.6,StoreI,StoreL
118,9,11,997.4,11741.9,StoreJ,StoreL
130,10,11,1293.8,15585.5,StoreK,StoreL
155,12,11,249.9,2741.5,StoreM,StoreL
11,0,12,782.1,9225.5,StoreA,StoreM
23,1,12,1140.2,13915.7,StoreB,StoreM
35,2,12,431.8,4083.8,StoreC,StoreM
47,3,12,405.6,4807.5,StoreD,StoreM
59,4,12,221.1,2590.6,StoreE,StoreM
71,5,12,572.7,6307.6,StoreF,StoreM
83,6,12,523.1,5516.0,StoreG,StoreM
95,7,12,721.2,8627.5,StoreH,StoreM
107,8,12,1330.9,19000.2,StoreI,StoreM
119,9,12,1279.0,15280.7,StoreJ,StoreM
131,10,12,1320.1,16381.1,StoreK,StoreM
143,11,12,449.1,5028.7,StoreL,StoreM
12,1,0,1164.7,16097.2,StoreB,StoreA
24,2,0,773.8,8690.5,StoreC,StoreA
36,3,0,805.8,10191.4,StoreD,StoreA
48,4,0,635.9,7264.0,StoreE,StoreA
60,5,0,1033.0,11935.2,StoreF,StoreA
72,6,0,795.3,9136.2,StoreG,StoreA
84,7,0,890.5,10015.6,StoreH,StoreA
96,8,0,1829.7,23689.4,StoreI,StoreA
108,9,0,1947.6,22928.5,StoreJ,StoreA
120,10,0,1989.5,26526.8,StoreK,StoreA
132,11,0,1124.2,12839.9,StoreL,StoreA
144,12,0,835.4,9706.7,StoreM,StoreA
